group,Facebook,Instagram,Snapchat,Twitter,None
I'm in? Other,3,6,2,0,8
I'm in? High School,29,96,14,32,106
I'm in? College,499,781,74,151,820
I'm in? Grad School,7,13,4,3,14
I'm in? Post-grad,15,35,1,1,43
