group,Facebook,Instagram,Snapchat,Twitter,None
Poor (< ~$50K) ,15,45,7,10,57
Middle / lower-middle class (~$90K),41,111,12,32,144
Upper-middle class (~$160K),71,149,42,178,11
Upper class (> $240K),70,83,8,13,130
